이름,주소,전화번호,지역,최초 수집일
더클라임 양재점,서울특별시 강남구 도곡동 957-11 지하1층,,서울,2026-03-05
오프더월클라이밍,서울특별시 용산구 이태원동 127-3 지하 2층,,서울,2026-03-05
더클라임 클라이밍 홍대B점,서울특별시 마포구 서교동 353-5 경남관광빌딩,,서울,2026-03-05
클라이밍파크 종로점,서울특별시 종로구 종로4가 5 한일빌딩 지하2층,,서울,2026-03-05
더클라임 마곡점,서울특별시 강서구 마곡동 796-3 마곡사이언스타워 7층,,서울,2026-03-05
에이스클라이밍센터,서울특별시 구로구 구로동 106-8 지하1층,,서울,2026-03-05
북한산 국제클라이밍센터,서울특별시 강북구 우이동 185-9 북한산 국제클라이밍센터,,서울,2026-03-05
조규복클라이밍센터 강변점,서울특별시 광진구 구의동 593-15 1층 104호,,서울,2026-03-05
강서클라이밍센터,서울특별시 강서구 내발산동 646 동서빌딩 4층,,서울,2026-03-05
인클라이밍센터,서울특별시 관악구 봉천동 1686-21 지하 1층 인클라이밍센터,,서울,2026-03-05
손상원 클라이밍짐 을지로점,서울특별시 중구 다동 85 지하1층 손상원 클라이밍짐 을지로점,,서울,2026-03-05
손상원 클라이밍짐 강남역점,서울특별시 서초구 서초동 1337-32 지하1층,,서울,2026-03-05
드림캐처클라이밍짐,서울특별시 노원구 상계동 357-2 7층,,서울,2026-03-05
온플릭클라이밍짐 천호점,서울특별시 강동구 천호동 425-5 대우한강베네시티 상가 지하 1층,,서울,2026-03-05
닷 클라이밍짐,서울특별시 송파구 문정동 651-5 청림타워 2층,,서울,2026-03-05
용인시스포츠클라이밍장,경기도 용인시 처인구 마평동 703,,경기,2026-03-05
광교스포츠클라이밍장,경기도 수원시 영통구 하동 1023,,경기,2026-03-05
광교호수공원스포츠클라이밍장,경기도 수원시 영통구 하동 999,,경기,2026-03-05
광교스포츠클라이밍장입구,경기도 수원시 영통구 하동,,경기,2026-03-05
클라임업 수원점,경기도 수원시 팔달구 인계동 1039-1 지산빌딩 4층 401호~403호,,경기,2026-03-05
더클라임 클라이밍 일산점,경기도 고양시 일산동구 마두동 805-1 5층 더클라임,,경기,2026-03-05
마운틴그라운드 동탄점,경기도 화성시 동탄구 송동 725-4 그랑파사쥬 5층 5005호,,경기,2026-03-05
캐치스톤클라이밍짐 부천역점,경기도 부천시 원미구 심곡동 175-6 잼존프라자 18층,,경기,2026-03-05
킨디클라이밍,경기도 수원시 권선구 서둔동 388 1층,,경기,2026-03-05
그래비티클라이밍 수원역점,경기도 수원시 팔달구 매산로2가 66-1 홍익스포츠프라자 2층,,경기,2026-03-05
다이노 클라이밍센터,경기도 남양주시 다산동 6054-2 7층,,경기,2026-03-05
매드짐 광명클라이밍센터,경기도 광명시 하안동 302-5 5층,,경기,2026-03-05
애스트로맨클라이밍센터,경기도 파주시 동패동 1758 1002호 애스트로맨 클라이밍센터,,경기,2026-03-05
서수원클라이밍센터,경기도 수원시 장안구 천천동 557-4 율천프라자 4층 401호,,경기,2026-03-05
정글짐클라이밍센터,경기도 파주시 목동동 939-2 월드타워8층 정글짐클라이밍,,경기,2026-03-05
캐치스톤클라이밍짐 부천시청역점,경기도 부천시 원미구 중동 1162-5 프라자 7층 701호,,경기,2026-03-05
프리월 클라이밍짐,경기도 평택시 세교동 586-3 3층,,경기,2026-03-05
손상원 클라이밍짐 판교점,경기도 성남시 분당구 삼평동 682,,경기,2026-03-05
그립픽클라이밍짐,"경기도 성남시 수정구 창곡동 505 지하1층 119~122,127~130호",,경기,2026-03-05
디스커버리클라이밍 클라임스퀘어 ICN,인천광역시 서구 마전동 999-4,,인천,2026-03-05
클라이밍줌,인천광역시 연수구 청학동 502-2 7층,,인천,2026-03-05
디스커버리클라이밍 클라임스퀘어 송도점,인천광역시 연수구 송도동 176-5 트리플스트리트 D동 211a~c호,,인천,2026-03-05
비블럭 클라이밍 송도점,인천광역시 연수구 송도동 173-3 107호 비블럭클라이밍,,인천,2026-03-05
디스커버리클라이밍 클라임스퀘어 청라점,인천광역시 서구 청라동 162-10 진영메디피아 1002호,,인천,2026-03-05
간석클라이밍,인천광역시 남동구 간석동 520 탑프라자 602호,,인천,2026-03-05
서인천 클라이밍,인천광역시 서구 가정동 505-24 4층,,인천,2026-03-05
부평클라이밍센터,인천광역시 부평구 산곡동 369-246 4층 부평클라이밍센터,,인천,2026-03-05
인천계양클라이밍센터,인천광역시 계양구 계산동 18-17 4층 인천계양클라이밍,,인천,2026-03-05
인천베스트클라이밍센타,인천광역시 부평구 갈산동 170-8 이레빌딩 5층,,인천,2026-03-05
아이사랑꿈터 부평구 산곡점,인천광역시 부평구 산곡동 307 105동 104호,,인천,2026-03-05
웨이브락 클라이밍 서면점,부산광역시 부산진구 부전동 117-1 혜도인파크에비뉴 오피스텔 상가 3층,,부산,2026-03-05
돌멩이클라이밍,부산광역시 부산진구 전포동 362-62 한웅인터빌 2층 돌멩이클라이밍,,부산,2026-03-05
웨이브락 클라이밍 남천점,부산광역시 수영구 남천동 323 3층 웨이브락남천점,,부산,2026-03-05
웨이브락 클라이밍 부산대점,부산광역시 금정구 장전동 643-117 테라스파크 2층 (201호),,부산,2026-03-05
포고클라임,부산광역시 사상구 모라동 728-29 2층,,부산,2026-03-05
SO클라이밍짐,부산광역시 북구 화명동 2271-2 새론타워 2층 201호,,부산,2026-03-05
오터클라이밍,부산광역시 사하구 하단동 510-9 초이스타워 2층,,부산,2026-03-05
패밀리클라이밍센터,부산광역시 동래구 사직동 71-24 성광메모리얼 빌딩 지하,,부산,2026-03-05
클라이밍센터,부산광역시 사하구 당리동 317-16,,부산,2026-03-05
락클라이밍센터,부산광역시 북구 덕천동 337-1,,부산,2026-03-05
부산클라이밍센터,부산광역시 해운대구 좌동 395-3,,부산,2026-03-05
부산문현클라이밍센터,부산광역시 남구 문현동 127-55 아우성책비디오,,부산,2026-03-05
남구국제스포츠클라이밍장,대구광역시 남구 봉덕동 산132-7,,대구,2026-03-05
뉴비클라이밍 수성점,대구광역시 수성구 상동 27-5 1층,,대구,2026-03-05
대구 파워클라이밍 센터,대구광역시 수성구 수성동4가 1021-5 3층 대구파워클라이밍센터,,대구,2026-03-05
클라이밍하이,대구광역시 달서구 도원동 1431 동신빌딩 7층,,대구,2026-03-05
볼더라운지플립 대구점,대구광역시 서구 비산동 156-23 볼더라운지 플립 대구점,,대구,2026-03-05
광장클라이밍센터,대구광역시 서구 내당4동 465-4 B1,,대구,2026-03-05
대구클라이밍센터,대구광역시 달서구 월성동 1865 4층 401호 대구클라이밍센터,,대구,2026-03-05
락클라이밍,대구광역시 북구 노원동2가 369-1 2층,,대구,2026-03-05
챌린져클라이밍센터,대구광역시 수성구 매호동 1344-6,,대구,2026-03-05
동성로클라이밍짐,대구광역시 중구 동성로3가 105 4층,,대구,2026-03-05
점프클라이밍짐,대구광역시 달서구 본동 225-8 그린코아상가 2층,,대구,2026-03-05
핸즈 클라이밍 짐,대구광역시 남구 봉덕동 613-5 3층,,대구,2026-03-05
점프클라이밍짐,대구광역시 달서구 장기동 562-1,,대구,2026-03-05
락토피아클라이밍짐,대구광역시 달서구 상인동 1554-2,,대구,2026-03-05
하나클라이밍짐,대전광역시 유성구 노은동 270,,대전,2026-03-05
클라이밍짐리드 유성점,대전광역시 유성구 봉명동 548-12 이화빌딩 2층,,대전,2026-03-05
클라이밍짐리드 충대점,대전광역시 유성구 궁동 490-11,,대전,2026-03-05
베이스캠프 볼더스팟 클라이밍 둔산점,대전광역시 서구 둔산동 1026 3층,,대전,2026-03-05
베이스캠프 볼더스팟 클라이밍 유성점,대전광역시 유성구 봉명동 550-1 4층,,대전,2026-03-05
대전클라이밍센터,대전광역시 서구 괴정동 128-9 지하1층,,대전,2026-03-05
스몹 대전,대전광역시 유성구 도룡동 648 대전 신세계백화점 6F,,대전,2026-03-05
대전청소년위캔센터,대전광역시 동구 원동 85-5,,대전,2026-03-05
레드원클라이밍 첨단,광주광역시 광산구 쌍암동 694-99 2층 201호,,광주,2026-03-05
바위 클라이밍 센터,"광주광역시 동구 대의동 10-1 광주아트센터 지하 1,2층",,광주,2026-03-05
온클라이밍,광주광역시 광산구 장덕동 1658 6층 602호,,광주,2026-03-05
핸드워크 클라이밍 양산점,광주광역시 북구 용두동 305-44 2층,,광주,2026-03-05
그랩잇 클라이밍,광주광역시 광산구 수완동 669-1 올핀스빌딩 D동 B102호,,광주,2026-03-05
G1클라이밍 송정,광주광역시 광산구 송정동 735 지하 1층,,광주,2026-03-05
핸드워크 클라이밍 전대점,광주광역시 북구 중흥동 280-2 5층,,광주,2026-03-05
영남알프스 복합웰컴센터,울산광역시 울주군 상북면 등억알프스리 517 복합웰컴센터,,울산,2026-03-05
등반세계 최병호클라이밍센터,울산광역시 남구 달동 1310-15 3층,,울산,2026-03-05
UP 클라이밍짐,"울산광역시 남구 무거동 466-1 주헌빌딩(구,성진빌딩)",,울산,2026-03-05
몽클라이밍센터,울산광역시 북구 호계동 985-5 1층,,울산,2026-03-05
영남알프스 국제클라이밍센터,울산광역시 울주군 상북면 등억알프스리 517 국제클라이밍센터,,울산,2026-03-05
아카데미클라이밍센터,울산광역시 중구 태화동 905-2 지하 1층,,울산,2026-03-05
몽클라이밍센터입구,울산광역시 북구 호계동,,울산,2026-03-05
라온클라이밍짐,울산광역시 남구 신정동 685-4 연세메디컬 12층 라온클라이밍짐,,울산,2026-03-05
구클라이밍짐,울산광역시 중구 우정동 252-7 3층,,울산,2026-03-05
클라이밍파크 강남점,서울특별시 강남구 역삼동 826-21 지하1층,,서울특별시,2026-03-05
클라이밍파크 한티점,서울특별시 강남구 대치동 922-1 SH타워 지하3층,,서울특별시,2026-03-05
클라이밍파크 신논현점,서울특별시 강남구 역삼동 808-4 지하3층,,서울특별시,2026-03-05
강남스포츠클라이밍센터,서울특별시 강남구 대치동 1010-1,,서울특별시,2026-03-05
강남스포츠클라이밍센터입구,서울특별시 강남구 대치동,,서울특별시,2026-03-05
더클라임 클라이밍 강남점,서울특별시 강남구 역삼동 823-14 화인강남빌딩 B1층,,서울특별시,2026-03-05
강동클라이밍짐,서울특별시 강동구 둔촌동 63-2 알레소 빌딩 지하,,서울특별시,2026-03-05
몽키즈클라이밍 하남미사점,경기도 하남시 망월동 962-2 2층 몽키즈클라이밍 하남미사점,,경기도,2026-03-05
도봉파워클라이밍센터,서울특별시 도봉구 쌍문동 21-15 4층,,서울특별시,2026-03-05
볼더 클라이밍 짐,서울특별시 노원구 상계동 1110 202~209호,,서울특별시,2026-03-05
더플라스틱클라이밍 염창점,서울특별시 강서구 염창동 262-1 1층 더플라스틱클라이밍 염창점,,서울특별시,2026-03-05
클라이밍88,서울특별시 강서구 화곡동 1093-76 제2체육관 1층,,서울특별시,2026-03-05
어거스트클라이밍,서울특별시 강서구 가양동 1480-8 8층,,서울특별시,2026-03-05
목동클라이밍센터,서울특별시 양천구 목동 507-13 지층 클라이밍센터,,서울특별시,2026-03-05
트리클라이밍연구소,경기도 김포시 고촌읍 신곡리 1062-8 3층 302-1050호,,경기도,2026-03-05
서울시산악문화체험센터(녹화장소 클라이밍 필히유선상담) 070-4112-9921,서울특별시 마포구 상암동 481-231,,서울특별시,2026-03-05
스톤즈클라이밍,서울특별시 관악구 봉천동 1653-1 닷컴힐즈 B201호,,서울특별시,2026-03-05
in클라이밍,서울특별시 관악구 봉천동 1686-21 지층 인클라이밍센터,,서울특별시,2026-03-05
사당클라이밍,서울특별시 서초구 방배동 467-19,,서울특별시,2026-03-05
MCC실내암벽클럽,서울특별시 서초구 방배동,,서울특별시,2026-03-05
더클라임 신림점,서울특별시 관악구 신림동 1638-1 삼모더프라임타워 5층,,서울특별시,2026-03-05
클라이밍 더클라임 사당점,서울특별시 관악구 남현동 1061-18 지층 B201호,,서울특별시,2026-03-05
볼더생활 클라이밍짐,서울특별시 동작구 사당동 120-1 7층,,서울특별시,2026-03-05
버티고클라이밍짐,서울특별시 광진구 중곡동 131-5 지하1층,,서울특별시,2026-03-05
